des,type,p,q,soi,a,e,i,q
575713, resonant,3,2, S,39.513,0.179,13.497,32.440173
576162, centaur,0,0, S,26.254,0.38,29.827,16.27748
576212, classical, m,0, S,40.522,0.019,16.559,39.752082
576256, resonant,2,1, S,47.78,0.274,6.616,34.68828
576257, resonant,3,2, S,39.315,0.289,29.067,27.952965
576357, centaur,0,0, S,27.554,0.382,12.327,17.028372
577578, resonant,2,1, S,47.737,0.344,6.66,31.315472
577627, classical, m,0, S,40.924,0.11,20.335,36.42236
578559, centaur,0,0, S,20.195,0.317,20.982,13.793185
578832, centaur,0,0, S,26.645,0.201,14.261,21.289355
578833, detached,0,0, S,50.469,0.279,17.812,36.388149
578834, resonant,3,2, S,39.576,0.19,8.845,32.05656
578835, detached,0,0, S,57.583,0.36,29.836,36.85312
578847, classical, o,0, S,51.398,0.219,46.607,40.141838
578991, centaur,0,0, S,11.354,0.08,23.842,10.44568
578992, resonant,3,2, S,39.379,0.279,6.191,28.392259
578993, resonant,3,2, S,39.431,0.075,19.39,36.473675
578997, scattering,0,0, S,42.932,0.403,28.468,25.630404
579062, classical, m,0, S,42.755,0.179,28.434,35.101855
579077, classical, m,0, S,41.057,0.047,16.078,39.127321
579246, resonant,3,2, S,39.241,0.267,19.251,28.763653
581804, resonant,2,1, S,47.901,0.214,6.029,37.650186
582301, scattering,0,0, S,248.658,0.954,175.973,11.438268
583751, resonant,2,1, S,47.509,0.278,21.448,34.301498
584778, jc,0,0, S,75.213,0.906,74.881,7.070022
585899, scattering,0,0, S,81.598,0.838,137.863,13.218876
585912, scattering,0,0, S,31.932,0.579,24.471,13.443372
585913, scattering,0,0, S,37.845,0.628,23.691,14.07834
587670, classical, m,0, S,42.52,0.026,2.115,41.41448
589683, detached,0,0, S,49.361,0.246,30.643,37.218194
590218, centaur,0,0, S,16.302,0.318,10.716,11.117964
591370, scattering,0,0, S,37.127,0.49,37.426,18.93477
591376, scattering,0,0, S,39.601,0.378,4.681,24.631822
591392, classical, m,0, S,45.552,0.139,8.88,39.220272
591486, resonant,3,2, S,39.383,0.28,10.365,28.35576
592044, classical, m,0, S,46.397,0.112,9.256,41.200536
592064, classical, m,0, S,44.04,0.177,28.793,36.24492
592147, classical, m,0, S,46.576,0.183,4.362,38.052592
592148, classical, m,0, S,43.995,0.077,2.363,40.607385
592149, scattering,0,0, S,141.056,0.761,13.049,33.712384
592245, detached,0,0, I,67.913,0.372,42.227,42.649364
592487, classical, m,0, S,45.213,0.092,7.075,41.053404
593616, classical, m,0, S,42.958,0.014,12.089,42.356588
593617, resonant,5,4, S,34.84,0.047,7.122,33.20252
594337, scattering,0,0, I,171.505,0.794,16.976,35.33003
594872, jc,0,0, S,14.404,0.592,160.35,5.876832
594994, resonant,3,2, S,39.455,0.204,1.588,31.40618
597614, detached,0,0, I,70.824,0.485,20.884,36.47436
599752, classical, m,0, S,45.19,0.14,13.304,38.8634
600181, classical, m,0, S,44.831,0.04,3.425,43.03776
600217, scattering,0,0, S,166.522,0.882,26.229,19.649596
601690, scattering,0,0, S,34.066,0.447,35.579,18.838498
602572, detached,0,0, I,49.632,0.265,10.951,36.47952
602714, scattering,0,0, S,62.599,0.48,12.279,32.55148
602715, scattering,0,0, S,56.848,0.399,3.446,34.165648
602716, detached,0,0, I,66.725,0.451,21.578,36.632025
603108, classical, m,0, S,43.439,0.212,9.762,34.229932
606653, centaur,0,0, S,21.342,0.64,40.227,7.68312
606985, centaur,0,0, S,8.404,0.259,1.797,6.227364
606988, centaur,0,0, S,22.448,0.456,13.248,12.211712
609221, classical, m,0, S,43.932,0.074,0.491,40.681032
609222, classical, m,0, S,44.196,0.072,1.746,41.013888
612019, classical, m,0, I,42.837,0.043,1.658,40.995009
612026, classical, m,0, S,44.102,0.062,2.343,41.367676
612029, resonant,3,2, S,39.51,0.252,4.813,29.55348
612045, resonant,3,2, S,39.525,0.175,5.307,32.608125
612047, classical, m,0, S,42.624,0.013,3.314,42.069888
612048, classical, m,0, S,43.885,0.127,7.346,38.311605
612049, classical, m,0, S,43.723,0.031,1.015,42.367587
612051, resonant,2,1, S,47.885,0.363,11.797,30.502745
612060, resonant,3,2, S,39.328,0.189,8.786,31.895008
612081, classical, m,0, S,45.568,0.127,2.226,39.780864
612082, classical, m,0, S,43.185,0.04,1.911,41.4576
612083, resonant,13,7, I,45.439,0.107,2.973,40.577027
612084, detached,0,0, S,88.761,0.564,19.713,38.699796
612085, classical, m,0, S,46.868,0.007,23.293,46.539924
612086, resonant,5,3, S,42.244,0.234,9.756,32.358904
612087, classical, m,0, S,44.191,0.065,2.698,41.318585
612088, resonant,3,2, S,39.422,0.279,9.287,28.423262
612092, classical, m,0, S,42.929,0.026,3.157,41.812846
612095, classical, i,0, S,38.017,0.025,4,37.066575
612100, classical, m,0, S,44.062,0.058,1.407,41.506404
612101, resonant,11,4, I,59.238,0.415,19.711,34.65423
612102, resonant,3,2, S,39.384,0.139,11.462,33.909624
612141, classical, m,0, S,42.994,0.081,7.166,39.511486
612144, classical, m,0, S,44.242,0.1,9.485,39.8178
612145, scattering,0,0, I,36.646,0.234,13.512,28.070836
612146, classical, m,0, S,43.868,0.056,0.549,41.411392
612147, classical, m,0, S,43.841,0.036,0.528,42.262724
612148, classical, m,0, S,46.32,0.042,27.993,44.37456
612149, classical, m,0, S,44.162,0.107,11.593,39.436666
612150, classical, m,0, S,47.048,0.147,19.271,40.131944
612156, classical, m,0, S,45.107,0.098,4.459,40.686514
612157, classical, m,0, S,43.906,0.068,1.138,40.920392
612158, resonant,3,2, S,39.177,0.163,17.336,32.791149
612161, classical, m,0, S,41.253,0.083,19.127,37.829001
612166, classical, m,0, S,42.988,0.03,3.137,41.69836
612167, classical, m,0, S,43.189,0.049,4.419,41.072739
612174, classical, m,0, S,44.105,0.052,2.66,41.81154
612175, classical, m,0, S,43.991,0.082,1.193,40.383738
612176, resonant,2,1, S,47.753,0.216,3.674,37.438352
612203, classical, m,0, S,44.888,0.011,1.744,44.394232
612208, resonant,3,2, S,39.261,0.301,12.91,27.443439
612213, classical, m,0, S,43.234,0.039,1.171,41.547874
612214, classical, m,0, S,43.97,0.059,3.513,41.37577
612217, classical, m,0, S,42.714,0.038,2.936,41.090868
612218, resonant,3,2, S,39.537,0.114,2.252,35.029782
612236, classical, m,0, S,42.934,0.037,1.136,41.345442
612237, classical, m,0, S,45.213,0.121,1.431,39.742227
612238, classical, m,0, S,44.394,0.026,5.145,43.239756
612239, classical, m,0, S,46.274,0.123,30.569,40.582298
612240, resonant,7,4, S,43.711,0.155,3.658,36.935795
612241, resonant,3,2, S,39.383,0.109,6.712,35.090253
612242, classical, m,0, S,43.988,0.052,3.958,41.700624
612243, resonant,1,1, S,30.229,0.028,1.323,29.382588
612244, classical, m,0, S,44.024,0.039,0.247,42.307064
612245, detached,0,0, S,58.181,0.389,28.531,35.548591
612332, resonant,3,2, S,39.321,0.243,5.667,29.765997
612333, classical, m,0, S,44.978,0.063,1.687,42.144386
612349, classical, m,0, S,42.002,0.09,26.684,38.22182
612350, resonant,5,2, S,55.406,0.422,1.559,32.024668
612351, resonant,3,2, S,39.487,0.192,5.381,31.905496
612352, resonant,3,2, S,39.438,0.089,1.802,35.928018
612388, classical, m,0, S,42.662,0.014,1.272,42.064732
612524, resonant,2,1, S,47.686,0.322,3.909,32.331108
612533, resonant,3,2, S,39.308,0.125,13.271,34.3945
612547, resonant,3,2, S,39.384,0.177,5.618,32.413032
612548, classical, m,0, S,44.202,0.102,8.864,39.693396
612549, classical, m,0, S,43.621,0.033,2.098,42.181507
612573, classical, m,0, S,43.851,0.054,2.409,41.483046
612574, resonant,3,2, S,39.238,0.194,6.495,31.625828
612575, detached,0,0, S,67.727,0.432,4.007,38.468936
612576, classical, m,0, S,45.322,0.132,7.116,39.339496
612577, classical, i,0, S,38.763,0.071,5.406,36.010827
612578, classical, m,0, S,46.564,0.183,3.493,38.042788
612579, classical, m,0, S,44.165,0.083,0.189,40.499305
612580, classical, i,0, S,38.208,0.059,3.43,35.953728
612581, resonant,3,2, S,39.304,0.133,9.531,34.076568
612582, classical, m,0, S,43.304,0.036,2.949,41.745056
612583, classical, m,0, S,43.006,0.061,2.659,40.382634
612584, detached,0,0, S,49.607,0.253,6.751,37.056429
612619, classical, m,0, S,42.489,0.042,1.498,40.704462
612620, classical, m,0, S,42.653,0.08,28.567,39.24076
612621, resonant,3,2, S,39.426,0.166,8.345,32.881284
612658, resonant,3,2, S,39.357,0.091,27.934,35.775513
612687, classical, m,0, S,42.615,0.003,3.07,42.487155
612688, resonant,3,2, S,39.258,0.295,17.542,27.67689
612719, classical, m,0, S,44.132,0.039,3.774,42.410852
612732, detached,0,0, S,88.482,0.579,20.874,37.250922
612733, classical, m,0, S,46.732,0.159,4.856,39.301612
612772, resonant,3,2, S,39.548,0.229,16.651,30.491508
612793, resonant,7,4, SH,43.736,0.132,2.825,37.962848
612794, classical, m,0, S,44.172,0.096,1.577,39.931488
612795, classical, m,0, S,43.79,0.04,1.156,42.0384
612798, classical, i,0, S,38.919,0.108,32.932,34.715748
612802, centaur,0,0, S,22.93,0.149,21.454,19.51343
612883, resonant,22,5, IH,80.638,0.512,23.185,39.351344
612891, resonant,5,2, S,55.324,0.431,8.98,31.479356
612892, resonant,2,1, S,47.706,0.277,9.758,34.491438
612911, classical, o,0, S,57.483,0.108,46.641,51.274836
612931, resonant,2,1, S,47.781,0.223,11.667,37.125837
612951, scattering,0,0, S,52.05,0.511,0.711,25.45245
612952, resonant,3,2, S,39.513,0.239,10.328,30.069393
612953, resonant,4,3, S,36.517,0.162,10.421,30.601246
612985, classical, m,0, S,42.436,0.107,14.261,37.895348
613037, resonant,11,2, S,93.8,0.592,22.934,38.2704
613087, resonant,5,3, S,42.311,0.11,6.891,37.65679
613100, resonant,5,3, S,42.407,0.243,2.17,32.102099
613214, centaur,0,0, S,21.526,0.13,17.779,18.72762
613411, detached,0,0, S,91.023,0.586,21.642,37.683522
613412, detached,0,0, S,81.094,0.537,16.037,37.546522
613468, resonant,5,3, S,42.225,0.175,9.377,34.835625
613469, resonant,3,1, S,62.572,0.495,20.064,31.59886
613490, resonant,1,1, S,30.038,0.03,8.163,29.13686
613619, scattering,0,0, S,37.854,0.46,37.409,20.44116
613620, resonant,3,2, S,39.272,0.226,14.841,30.396528
613766, scattering,0,0, S,34.115,0.504,6.304,16.92104
613857, classical, m,0, S,41.53,0.132,22.277,36.04804
613858, detached,0,0, S,72.416,0.503,21.962,35.990752
613908, detached,0,0, S,57.149,0.363,20.261,36.403913
614688, classical, m,0, S,43.28,0.055,3.066,40.8996
616560, resonant,5,2, S,55.357,0.405,3.383,32.937415
617103, detached,0,0, S,50.56,0.277,17.896,36.55488
620057, classical, o,0, S,53.847,0.237,26.153,41.085261
620065, classical, m,0, S,44.82,0.064,7.902,41.95152
620074, detached,0,0, S,61.943,0.423,28.031,35.741111
620075, resonant,3,2, S,39.391,0.225,5.276,30.528025
620086, detached,0,0, S,63.588,0.443,27.569,35.418516
620087, detached,0,0, IH,59.034,0.427,17.485,33.826482
620088, classical, o,0, S,51.463,0.228,12.782,39.729436
620502, resonant,2,1, S,47.584,0.184,2.251,38.828544
621861, resonant,2,1, S,47.838,0.261,7.994,35.352282
622544, resonant,3,2, S,39.239,0.063,14.85,36.766943
623070, detached,0,0, S,48.83,0.279,13.515,35.20643
624884, scattering,0,0, S,33.481,0.333,8.205,22.331827
J93R00P, resonant,5,4, S,35.03,0.057,4.34,33.03329
J94E02S, classical, m,0, S,45.817,0.115,1.065,40.548045
J94T00A, centaur,0,0, S,16.759,0.303,5.398,11.681023
J95D02B, classical, m,0, S,46.445,0.135,4.104,40.174925
J96K01V, classical, m,0, S,45.2,0.111,8.083,40.1828
J96R20Q, classical, m,0, S,43.851,0.1,31.67,39.4659
J97G45A, classical, m,0, S,47.177,0.175,7.759,38.921025
J97Q04H, classical, m,0, S,42.699,0.083,13.186,39.154983
J97R09X, classical,m,0, I,41.573,0.055,29.994,39.286485
J98FE4S, classical, m,0, S,41.765,0.022,9.866,40.84617
J98HF1L, classical, m,0, I,40.747,0.09,28.009,37.07977
J98HF1N, classical, i,0, I,37.96,0.053,24.975,35.94812
J98HF1O, classical, m,0, S,41.375,0.093,16.73,37.527125
J98K61Y, classical, m,0, S,44.327,0.047,2.054,42.243631
J98K65S, classical, m,0, S,43.763,0.034,1.184,42.275058
J98U43R, resonant,3,2, S,39.473,0.22,8.765,30.78894
J98W24V, classical, i,0, S,38.967,0.038,1.518,37.486254
J98W24X, classical, m,0, S,43.298,0.042,0.922,41.479484
J98W31S, resonant,3,2, S,39.361,0.201,6.741,31.449439
J98W31V, resonant,3,2, S,39.238,0.271,5.723,28.604502
J98W31W, classical, m,0, S,44.65,0.086,6.799,40.8101
J98W31Y, classical, m,0, S,45.19,0.118,1.977,39.85758
J98W31Z, resonant,3,2, S,39.497,0.168,14.604,32.861504
J99CB8Y, scattering,0,0, S,90.218,0.616,25.584,34.643712
J99CB8Z, resonant,23,20, IH,116.817,0.679,27.759,37.498257
J99CB9B, classical, m,0, S,46.905,0.129,8.746,40.854255
J99CB9C, classical, m,0, S,44.761,0.074,0.454,41.448686
J99CB9H, classical, m,0, S,43.307,0.083,19.956,39.712519
J99CB9J, classical, m,0, S,45.326,0.066,3.206,42.334484
J99CB9N, classical, m,0, S,43.732,0.041,1,41.938988
J99CD3Q, classical, m,0, S,41.31,0.096,13.276,37.34424
J99CF3M, classical, m,0, S,45.681,0.139,0.198,39.331341
J99CF3N, classical, m,0, S,43.853,0.113,7.424,38.897611
J99CF4G, classical, m,0, I,43.047,0.092,0.777,39.086676
J99CF4H, classical, m,0, I,43.023,0.012,0.838,42.506724
J99CF8K, classical, m,0, I,40.814,0.072,17.088,37.875392
J99D00A, classical, m,0, S,43.268,0.072,2.791,40.152704
J99D08H, classical, m,0, S,44.109,0.074,4.528,40.844934
J99G46S, classical, m,0, I,44.571,0.085,5.18,40.782465
J99H11S, classical, m,0, S,44.104,0.019,2.6,43.266024
J99H12G, resonant,7,4, I,43.614,0.156,1.018,36.810216
J99H12H, classical, m,0, S,43.553,0.02,1.301,42.68194
J99H12J, classical, m,0, S,43.06,0.049,4.543,40.95006
J99JD2D, classical, m,0, S,43.266,0.067,10.484,40.367178
J99K18R, resonant,7,4, S,43.598,0.208,0.605,34.529616
J99O03Z, classical, m,0, S,43.954,0.08,2.554,40.43768
J99O04A, classical, m,0, I,44.338,0.066,3.126,41.411692
J99O04C, classical, m,0, I,45.49,0.17,1.17,37.7567
J99O04D, classical, m,0, S,41.418,0.094,14.398,37.524708
J99O04G, classical, m,0, I,46.994,0.133,1.421,40.743798
J99O04H, classical, m,0, S,40.462,0.04,28.185,38.84352
J99O04K, classical, m,0, S,43.245,0.158,29.987,36.41229
J99RL4T, classical, m,0, S,42.528,0.046,2.577,40.571712
J99RL4U, resonant,5,2, I,55.676,0.341,4.26,36.690484
J99RL4W, classical, m,0, S,42.898,0.032,1.362,41.525264
J99RL4X, classical, m,0, S,46.106,0.172,4.819,38.175768
J99RL4Z, detached,0,0, I,84.78,0.567,20.495,36.70974
J99RL5B, resonant,2,1, S,47.584,0.34,7.857,31.40544
J99RL5G, classical, m,0, S,46.386,0.071,0.242,43.092594
J99RL5V, classical, m,0, S,44.615,0.183,21.996,36.450455
J99RL5W, resonant,4,3, S,36.348,0.157,10.547,30.641364
J99RL5X, classical, m,0, S,46.924,0.141,0.892,40.307716
J99T11R, resonant,3,2, S,39.398,0.245,17.137,29.74549
K00AP5F, detached,0,0, S,48.589,0.249,30.875,36.490339
K00CA4L, classical, m,0, S,44.408,0.077,1.244,40.988584
K00CA4M, classical, m,0, I,44.288,0.082,0.91,40.656384
K00CA4O, centaur,0,0, S,24.098,0.146,3.068,20.579692
K00CA5K, resonant,3,2, S,39.412,0.233,8.137,30.229004
K00CA5L, classical, m,0, S,43.009,0.047,4.176,40.987577
K00CB4N, classical, m,0, S,43.912,0.042,1.552,42.067696
K00F08B, resonant,3,2, S,39.278,0.296,4.584,27.651712
K00F08C, classical, m,0, S,43.941,0.064,0.715,41.128776
K00F08H, classical, m,0, S,43.495,0.033,2.075,42.059665
K00F53R, resonant,9,5, I,44.493,0.086,2.51,40.666602
K00F53S, classical, m,0, S,43.055,0.036,2.09,41.50502
K00F53T, classical, m,0, I,45.124,0.154,11.99,38.174904
K00F53Z, centaur,0,0, S,23.747,0.479,34.84,12.372187
K00GD7M, jc,0,0, S,7.883,0.121,15.845,6.929157
K00GE6V, classical, m,0, S,44.027,0.068,3.676,41.033164
K00GE6X, classical, m,0, S,44.091,0.014,0.682,43.473726
K00GE6Y, classical, m,0, S,43.962,0.021,2.701,43.038798
K00J81F, classical, m,0, S,46.111,0.102,1.742,41.407678
K00K04L, classical, i,0, S,38.592,0.062,21.306,36.199296
K00O51B, classical, i,0, I,37.796,0.035,4.458,36.47314
K00O67H, classical, m,0, I,44.163,0.019,5.629,43.323903
K00O67P, resonant,7,4, S,43.678,0.19,0.755,35.37918
K00P29U, classical, m,0, S,42.476,0.022,0.708,41.541528
K00P29W, classical, m,0, S,44.179,0.06,1.759,41.52826
K00P29X, classical, m,0, S,42.578,0.057,6.406,40.151054
K00P29Y, classical, m,0, S,44.236,0.057,0.821,41.714548
K00P30A, classical, m,0, I,47.029,0.137,0.419,40.586027
K00P30C, classical, m,0, S,43.063,0.03,1.251,41.77111
K00P30D, classical, m,0, S,46.518,0.023,4.596,45.448086
K00P30F, detached,0,0, S,76.46,0.504,6.31,37.92416
K00P30G, classical, m,0, S,45.093,0.103,4.632,40.448421
K00P30H, detached,0,0, I,76.777,0.501,8.056,38.311723
K00P30L, resonant,5,3, I,41.985,0.239,5.86,31.950585
K00P30M, classical, m,0, S,44.004,0.057,2.283,41.495772
K00P30N, classical, m,0, S,44.83,0.104,1.514,40.16768
K00QM6H, resonant,3,2, S,39.515,0.192,2.802,31.92812
K00QM6L, resonant,7,4, S,43.627,0.185,2.494,35.556005
K00QP1N, resonant,5,3, S,42.167,0.123,0.342,36.980459
K00QP2L, detached,0,0, I,45.927,0.258,23.631,34.077834
K00Sb0Y, classical, m,0, IH,43.688,0.048,1.829,41.590976
K00SX1R, resonant,5,2, S,55.382,0.438,4.257,31.124684
K00W12V, classical, m,0, S,43.476,0.041,2.23,41.693484
K00WI3L, classical, m,0, I,43.537,0.067,4.299,40.620021
K00WI3M, classical, m,0, S,44.925,0.115,7.443,39.758625
K00WI3N, classical, m,0, I,44.727,0.114,4.038,39.628122
K00WI3O, classical, m,0, S,43.796,0.06,2.443,41.16824
K00Y01V, classical, m,0, S,43.869,0.034,0.796,42.377454
K00Y01X, classical, m,0, S,45.567,0.072,4.547,42.286176
K00Y02A, classical, m,0, S,44.078,0.061,1.866,41.389242
K00Y02E, resonant,2,1, SH,47.942,0.205,3.827,38.11389
K00Y02F, classical, m,0, S,45.564,0.075,2.006,42.1467
K01DA6B, classical, m,0, S,43.123,0.037,3.793,41.527449
K01DA6C, classical, m,0, S,42.194,0.061,1.914,39.620166
K01DA6D, classical, m,0, S,44.01,0.094,1.824,39.87306
K01E24S, classical, m,0, S,44.309,0.058,4.038,41.739078
K01FH2U, resonant,3,2, S,39.356,0.268,24.734,28.808592
K01FI5L, classical, m,0, S,44.109,0.075,3.559,40.800825
K01FI5T, classical, m,0, S,47.217,0.11,19.512,42.02313
K01FJ4J, classical, m,0, I,44.198,0.14,12.267,38.01028
K01FJ4M, detached,0,0, S,54.048,0.365,28.688,34.32048
K01H59A, classical, m,0, I,43.866,0.062,1.013,41.146308
K01K76F, classical, m,0, S,44.395,0.021,3.21,43.462705
K01K76G, resonant,9,4, S,51.587,0.341,1.55,33.995833
K01K76H, classical, m,0, S,46.117,0.121,3.249,40.536843
K01K76L, resonant,9,5, S,44.49,0.099,1.326,40.08549
K01K76Q, classical, m,0, I,42.788,0.098,6.244,38.594776
K01K76W, classical, m,0, S,46.013,0.216,10.46,36.074192
K01K76Y, resonant,3,2, S,39.312,0.234,3.97,30.112992
K01K77A, classical, m,0, S,47.415,0.093,11.918,43.005405
K01K77E, classical, m,0, S,45.441,0.185,20.984,37.034415
K01K77G, scattering,0,0, S,61.671,0.449,15.478,33.980721
K01K77O, classical, m,0, S,43.902,0.146,20.726,37.492308
K01OA8K, classical, m,0, S,42.919,0.035,1.998,41.416835
K01OA8N, classical, m,0, S,42.7,0.04,1.15,40.992
K01OA8Q, classical, m,0, S,45.53,0.01,2.324,45.0747
K01OA8Z, classical, m,0, S,43.299,0.054,2.103,40.960854
K01OA9G, classical, m,0, S,43.491,0.013,0.547,42.925617
K01OA9M, scattering,0,0, I,68.423,0.493,3.55,34.690461
K01P47K, classical, m,0, S,39.772,0.065,8.731,37.18682
K01QT7Q, classical, m,0, S,44.362,0.082,4.414,40.724316
K01QT7X, classical, m,0, S,44.129,0.027,0.91,42.937517
K01QT7Z, classical, m,0, I,44.283,0.064,1.855,41.448888
K01QT8A, classical, m,0, S,46.19,0.188,23.642,37.50628
K01QW2R, resonant,1,1, S,30.229,0.028,1.323,29.382588
K01QW2W, classical, m,0, S,43.98,0.024,4.81,42.92448
K01RE3V, classical, m,0, S,46.044,0.073,1.295,42.682788
K01RE3W, classical, m,0, S,43.019,0.033,2.964,41.599373
K01RE3Y, classical, m,0, S,42.081,0.155,6.911,35.558445
K01ST1E, classical, m,0, I,45.386,0.132,1.584,39.395048
K01U18N, classical, m,0, I,44.21,0.075,3.607,40.89425
K01U18P, resonant,2,1, S,47.763,0.078,1.171,44.037486
K01V71N, resonant,3,2, S,39.44,0.246,18.66,29.73776
K01XP4U, classical, m,0, S,43.43,0.078,6.51,40.04246
K01XP4X, classical, m,0, S,43.763,0.028,1.751,42.537636
K01XP5Z, centaur,0,0, S,15.934,0.035,2.61,15.37631
K02CF4S, classical, m,0, S,43.139,0.049,1.178,41.025189
K02CF4T, classical, m,0, S,46.782,0.112,3.534,41.542416
K02CF4U, classical, m,0, S,43.752,0.059,3.352,41.170632
K02CF4Y, classical, m,0, S,44.266,0.078,0.979,40.813252
K02CF4Z, classical, m,0, S,43.424,0.059,10.076,40.861984
K02CM4X, classical, m,0, S,46.164,0.133,16.859,40.024188
K02CM5B, classical, m,0, S,44.039,0.08,3.782,40.51588
K02CO8Z, resonant,7,3, S,53.041,0.389,5.467,32.408051
K02CP1D, classical, m,0, S,42.564,0.012,1.429,42.053232
K02CP1E, resonant,3,2, I,39.305,0.267,9.294,28.810565
K02F06V, classical, m,0, S,46.979,0.157,3.092,39.603297
K02F36W, classical, m,0, S,42.864,0.02,2.35,42.00672
K02F36X, classical, m,0, S,44.153,0.049,1.133,41.989503
K02F36Y, scattering,0,0, S,32.021,0.297,5.353,22.510763
K02G31W, resonant,3,2, S,39.328,0.243,2.647,29.771296
K02G32A, detached,0,0, IH,52.094,0.329,15.126,34.955074
K02G32B, scattering,0,0, I,206.902,0.829,14.192,35.380242
K02G32E, resonant,3,2, S,39.293,0.23,15.701,30.25561
K02G32L, resonant,3,2, S,39.457,0.126,7.078,34.485418
K02G32R, resonant,3,2, I,39.538,0.276,3.321,28.625512
K02G32S, resonant,5,3, S,42.205,0.109,4.302,37.604655
K02G32W, resonant,5,4, S,35.02,0.074,6.355,32.42852
K02GG6H, resonant,3,2, S,39.236,0.195,8.661,31.58498
K02PE9O, classical, m,0, S,44.023,0.062,0.672,41.293574
K02PE9P, classical, m,0, I,40.944,0.09,34.714,37.25904
K02PE9R, classical, m,0, S,45.347,0.094,2.308,41.084382
K02PF0G, resonant,7,4, S,43.632,0.136,5.542,37.698048
K02PF2Q, centaur,0,0, S,25.755,0.188,9.342,20.91306
K02PF5D, classical, m,0, S,43.207,0.005,5.766,42.990965
K02PH0R, classical, m,0, S,44.208,0.087,0.856,40.361904
K02PH0S, classical, m,0, S,43.891,0.084,2.306,40.204156
K02PH0U, resonant,2,1, S,47.766,0.222,1.919,37.161948
K02PH0X, classical, m,0, S,42.649,0.042,1.571,40.857742
K02PH0Y, classical, m,0, I,43.014,0.033,3.016,41.594538
K02PH0Z, classical, m,0, S,42.561,0.041,1.272,40.815999
K02PH1A, classical, m,0, S,44.34,0.077,2.509,40.92582
K02PH1C, classical, m,0, S,44.701,0.059,3.577,42.063641
K02TU1H, resonant,3,2, S,39.374,0.038,1.541,37.877788
K02TZ1T, centaur,0,0, S,7.19,0.11,8.815,6.3991
K02VD0E, classical, m,0, S,44.55,0.067,3.242,41.56515
K02VD0F, classical, m,0, S,45.826,0.117,19.53,40.464358
K02VD0V, resonant,5,3, S,42.305,0.168,2.383,35.19776
K02VD0X, resonant,3,2, S,39.475,0.222,1.321,30.71155
K02VD1B, classical, m,0, S,43.127,0.041,1.529,41.358793
K02VD1D, classical, m,0, S,45.113,0.065,0.854,42.180655
K02VD1F, classical, m,0, I,44.164,0.06,1.807,41.51416
K02VD8D, resonant,3,2, S,39.49,0.147,2.783,33.68497
K02W21L, classical, m,0, S,43.098,0.041,2.55,41.330982
K02X91E, classical, m,0, S,46.099,0.123,6.271,40.428823
K03FC7J, classical, m,0, I,44.708,0.253,22.894,33.396876
K03FC7L, resonant,3,2, S,39.262,0.235,3.495,30.03543
K03FC7M, classical, m,0, I,43.748,0.06,4.286,41.12312
K03FC8D, classical, i,0, S,38.28,0.023,5.304,37.39956
K03FC9H, scattering,0,0, S,70.772,0.609,18.7,27.671852
K03FC9Z, detached,0,0, S,61.768,0.385,5.794,37.98732
K03FD0A, classical, m,0, S,42.606,0.032,0.289,41.242608
K03G55F, classical, m,0, I,45.51,0.053,5.948,43.09797
K03H56X, classical, m,0, S,47.201,0.224,29.525,36.627976
K03H56Z, classical, m,0, S,43.604,0.004,2.549,43.429584
K03H57A, resonant,3,2, S,39.418,0.171,27.634,32.677522
K03H57F, resonant,3,2, S,39.352,0.193,1.422,31.757064
K03H57H, classical, m,0, S,44.004,0.086,1.434,40.219656
K03H57M, scattering,0,0, S,41.856,0.678,10.785,13.477632
K03H57O, classical, m,0, I,46.303,0.155,3.48,39.126035
K03K20O, classical, m,0, S,43.914,0.042,1.784,42.069612
K03L07A, resonant,4,1, S,75.935,0.527,5.643,35.917255
K03L09D, classical, m,0, I,47.243,0.172,6.97,39.117204
K03O33S, scattering,0,0, I,68.913,0.518,20.698,33.216066
K03Q90T, classical, m,0, S,43.889,0.059,2.424,41.299549
K03Q90X, classical, m,0, S,43.764,0.022,3.201,42.801192
K03Q90Y, classical, m,0, S,42.746,0.052,3.768,40.523208
K03Q91D, classical, m,0, S,43.248,0.032,2.224,41.864064
K03Q91E, classical, m,0, S,42.975,0.048,3.472,40.9122
K03Q91F, classical, m,0, S,42.945,0.034,2.181,41.48487
K03Q91G, classical, m,0, S,42.501,0.018,2.207,41.735982
K03Q91J, classical, m,0, S,44.266,0.04,2.487,42.49536
K03Q91L, classical, m,0, S,43.026,0.009,1.538,42.638766
K03Q91M, classical, m,0, S,43.124,0.044,3.043,41.226544
K03Q91N, classical, m,0, S,42.541,0.109,4.329,37.904031
K03Q91P, resonant,4,3, S,36.463,0.102,6.549,32.743774
K03Q91S, classical, m,0, S,46.161,0.142,3.813,39.606138
K03Q91X, resonant,7,4, S,43.65,0.251,27.678,32.69385
K03QB2B, classical, m,0, I,44.059,0.108,11.342,39.300628
K03QB2C, centaur,0,0, S,20.501,0.276,18.247,14.842724
K03QB2D, centaur,0,0, S,19.017,0.582,14.496,7.949106
K03QB2E, classical, m,0, S,43.029,0.043,4.227,41.178753
K03Sg2S, resonant,16,1, I,190.459,0.792,16.797,39.615472
K03SV7O, resonant,3,2, S,39.35,0.276,6.564,28.4894
K03T58J, classical, m,0, S,44.417,0.087,0.955,40.552721
K03T58K, classical, m,0, S,43.087,0.065,3.356,40.286345
