des,type,p,q,soi,a,e,i,q
90377, detached,0,0, I,506.391,0.85,11.929,75.95865
90482, resonant,3,2, S,39.279,0.224,20.568,30.480504
90568, classical, m,0, S,41.945,0.077,21.983,38.715235
91133, resonant,3,2, S,39.357,0.228,5.942,30.383604
91205, resonant,3,2, S,39.264,0.132,10.605,34.081152
91554, scattering,0,0, S,101.586,0.695,25.505,30.98373
95625, resonant,7,3, I,53.053,0.376,13.939,33.105072
95626, centaur,0,0, S,23.05,0.219,15.023,18.00205
118228, resonant,3,2, S,39.392,0.122,14.664,34.586176
118378, resonant,7,4, I,43.751,0.113,5.053,38.807137
118379, classical, m,0, I,45.297,0.234,15.345,34.697502
118698, resonant,7,4, S,43.609,0.232,11.21,33.491712
118702, detached,0,0, I,98.313,0.601,23.356,39.226887
119066, resonant,7,4, I,43.668,0.079,6.736,40.218228
119067, resonant,7,4, I,43.548,0.189,7.206,35.317428
119068, resonant,5,2, I,55.087,0.357,12.906,35.420941
119069, resonant,3,2, I,39.126,0.241,2.361,29.696634
119070, resonant,7,4, S,43.667,0.175,3.316,36.025275
119315, centaur,0,0, S,17.448,0.176,17.432,14.377152
119473, resonant,3,2, S,39.59,0.285,3.672,28.30685
119878, resonant,12,5, S,53.861,0.345,15.733,35.278955
119951, classical, i,0, S,38.785,0.045,0.403,37.039675
119956, resonant,7,4, S,43.589,0.174,4.049,36.004514
119976, centaur,0,0, S,23.915,0.384,3.523,14.73164
119979, resonant,2,1, S,47.854,0.262,9.183,35.316252
120061, centaur,0,0, S,20.719,0.473,19.743,10.918913
120132, detached,0,0, S,49.381,0.25,11.777,37.03575
120178, classical, m,0, S,43.187,0.106,27.161,38.609178
120181, scattering,0,0, S,32.339,0.172,2.719,26.776692
120216, resonant,3,2, S,39.374,0.315,29.281,26.97119
120347, classical, m,0, S,42.027,0.107,23.931,37.530111
120348, classical, i,0, S,38.851,0.065,24.837,36.325685
121725, centaur,0,0, S,17.946,0.463,6.774,9.637002
123509, classical, m,0, S,44.381,0.045,1.969,42.383855
126154, resonant,5,3, S,42.321,0.14,11.079,36.39606
126155, resonant,3,2, S,39.416,0.293,5.977,27.867112
126619, detached,0,0, I,71.265,0.467,15.977,37.984245
126719, classical, m,0, S,47.015,0.192,0.836,37.98812
127546, scattering,0,0, I,66.535,0.685,77.93,20.958525
127871, resonant,5,4, S,34.939,0.085,2.372,31.969185
129746, resonant,3,2, S,39.291,0.268,1.475,28.761012
129772, resonant,7,4, I,43.668,0.034,3.302,42.183288
130391, resonant,2,1, Sh,47.423,0.28,23.456,34.14456
131318, resonant,3,2, S,39.343,0.174,13.698,32.497318
131695, resonant,11,8, I,37.22,0.052,4.262,35.28456
131696, resonant,7,3, S,52.915,0.322,0.518,35.87637
131697, resonant,5,4, S,34.924,0.075,2.857,32.3047
133067, resonant,3,2, S,39.554,0.257,8.884,29.388622
134210, detached,0,0, S,62.012,0.393,6.482,37.641284
134340,resonant,3,2,S,39.489,0.249,17.14,29.656239
134568, resonant,7,4, I,43.633,0.149,10.205,37.131683
134860, classical, m,0, S,42.837,0.021,1.115,41.937423
135024, resonant,7,4, S,43.665,0.111,2.153,38.818185
135182, classical, i,0, S,37.07,0.019,1.838,36.36567
135571, resonant,5,2, S,55.3,0.352,14.684,35.8344
135742, resonant,7,4, I,43.641,0.125,5.449,38.185875
136108, resonant,12,7, S,43.103,0.195,28.205,34.697915
136120, resonant,3,1, I,62.145,0.478,20.104,32.43969
136199, detached,0,0, S,67.835,0.438,43.993,38.12327
136204, centaur,0,0, S,20.141,0.258,11.166,14.944622
136472, classical, m,0, S,45.499,0.16,29.002,38.21916
137294, classical, m,0, S,44.955,0.106,1.351,40.18977
137295, resonant,2,1, S,47.551,0.292,12.688,33.666108
138537, classical, m,0, S,46.518,0.139,4.887,40.051998
138628, scattering,0,0, I,44.729,0.267,15.709,32.786357
139775, resonant,3,2, S,39.35,0.193,6.49,31.75545
143685, resonant,4,3, S,36.453,0.236,5.904,27.850092
143707, resonant,5,2, S,55.528,0.415,7.537,32.48388
143751, resonant,5,3, S,42.173,0.253,7.652,31.503231
143991, classical, m,0, I,44.57,0.136,19.392,38.50848
144897, classical, i,0, S,38.999,0.042,9.532,37.361042
145451, resonant,21,4, I,90.57,0.612,28.758,35.14116
145452, classical, m,0, S,41.51,0.023,19.272,40.55527
145453, classical, m,0, S,43.223,0.139,28.507,37.215003
145474, scattering,0,0, S,92.249,0.642,16.275,33.025142
145480, detached,0,0, IH,75.663,0.389,26.48,46.230093
